"to_date","count"
"2018-09-28","159"
"2018-08-14","1"
"2018-08-21","2"
"2018-06-26","1"
"2018-10-03","61"
"2018-09-13","10"
"2018-11-23","1"
"2018-07-22","1"
"2018-08-28","3"
"2018-04-09","1"
"2018-04-12","1"
"2018-11-11","1"
"2018-09-07","26"
"2018-10-27","3"
"2018-11-02","1"
"2018-03-27","1"
"2018-08-26","14"
"2018-11-03","4"
"2018-10-04","84"
"2018-10-11","7"
"2018-03-30","1"
"2018-10-05","95"
"2018-10-06","111"
"2018-07-06","1"
"2018-11-18","3"
"2018-10-14","7"
"2018-09-11","7"
"2018-09-04","32"
"2018-03-15","1"
"2018-11-29","2"
"2018-09-01","1"
"2018-08-04","2"
"2018-07-10","39"
"2018-08-09","1"
"2018-09-25","33"
"2018-06-10","1"
"2018-10-22","2"
"2018-10-08","38"
"2018-03-02","2"
"2018-07-16","2"
"2018-10-17","1"
"2018-10-02","46"
"2018-06-25","1"
"2018-11-27","1"
"2018-10-23","1"
"2018-10-16","4"
"2018-04-15","1"
"2018-05-01","1"
"2018-05-31","1"
"2018-08-02","1"
"2018-08-30","2"
"2018-06-29","2"
"2018-08-27","5"
"2018-03-08","1"
"2018-07-15","2"
"2018-08-11","1"
"2018-11-22","1"
"2018-09-27","167"
"2018-11-13","2"
"2018-03-04","1"
"2018-06-18","1"
"2018-11-09","1"
"2018-07-14","4"
"2018-10-21","7"
"2018-11-20","1"
"2018-09-21","22"
"2018-03-19","1"
"2018-09-20","31"
"2018-10-01","45"
"2018-11-16","2"
"2018-11-25","1"
"2018-09-15","4"
"2018-07-12","5"
"2018-09-09","10"
"2018-10-10","21"
"2018-10-07","62"
"2018-10-15","8"
"2018-03-29","1"
"2018-10-12","2"
"2018-09-05","36"
"2018-09-19","19"
"2018-06-27","1"
"2018-09-30","50"
"2018-10-09","26"
"2018-11-21","1"
"2018-10-20","3"
"2018-08-16","1"
"2018-07-13","1"
"2018-11-06","1"
"2018-04-01","1"
"2018-10-24","4"
"2018-07-04","1"
"2018-09-23","22"
"2018-10-25","1"
"2018-09-08","10"
"2018-08-20","1"
"2018-08-17","1"
"2018-08-22","2"
"2018-10-18","1"
"2018-11-14","1"
"2018-07-27","1"
"2018-09-10","11"
"2018-08-07","5"
"2018-08-03","4"
"2018-06-22","1"
"2018-08-18","1"
"2018-11-01","8"
"2018-09-02","2"
"2018-10-29","4"
"2018-09-03","2"
"2018-09-12","3"
"2018-10-13","2"
"2018-07-23","1"
"2018-06-17","1"
"2018-09-17","29"
"2018-03-09","1"
"2018-08-10","1"
"2018-03-12","1"
"2018-07-30","1"
"2018-08-31","1"
"2018-08-23","4"
"2018-10-28","6"
"2018-11-04","1"
"2018-06-28","1"
"2018-09-24","60"
"2018-09-22","17"
"2018-07-19","2"
"2018-09-26","31"
"2018-11-05","3"
"2018-07-28","1"
"2018-10-30","1"
"2018-09-16","1"
"2018-09-18","22"
"2018-03-03","1"
"2018-11-07","2"
"2018-08-25","5"
"2018-11-15","1"
"2018-04-13","1"
"2018-07-21","1"
"2018-10-31","3"
"2018-09-06","26"
"2018-09-29","55"
"2018-09-14","4"
"2018-07-11","11"
"2018-08-01","1"
"2018-07-02","1"
"2018-11-10","1"
